,lf_pm10_o,lf_pm10_p,ucm_pm10_o,ucm_pm10_p,utal_pm10_o,utal_pm10_p,lf_pm2_5_o,lf_pm2_5_p,ucm_pm2_5_o,ucm_pm2_5_p,utal_pm2_5_o,utal_pm2_5_p
660,31.0,37.56249823859588,13.0,16.216693391639446,23.0,18.396252989658173,30.0,21.526779333017153,7.0,9.802183099893991,11.0,21.81876424082435
661,30.0,36.46989978391055,10.0,13.397103933485164,22.0,18.58465150005501,29.0,21.71225814532132,3.0,9.47745291249014,13.0,21.33814271370558
662,24.0,20.452716636688947,8.0,12.23357061930382,25.0,23.75954041582294,23.0,16.194801048365218,3.0,8.925112460146607,16.0,23.827525057411755
663,15.0,18.158985896236157,10.0,15.144348567540689,43.0,49.660419993026686,14.0,9.487981776396119,6.0,9.984052161387886,39.0,36.326138114817084
664,8.0,14.728400479586721,21.0,23.986139383212684,51.0,58.466426109196874,7.0,8.120633069285091,11.0,16.674735708562668,44.0,40.87925351613615
665,33.0,36.35061143834162,64.0,75.30672497677378,62.0,66.3514334215925,30.0,15.294106429988606,61.0,55.478494141681665,53.0,51.70451616664798
666,39.0,38.242958026533344,48.0,45.587237048929,73.0,62.95687858844185,34.0,19.98087347924755,36.0,44.70208443984555,55.0,60.43926546833717
667,25.0,37.584539984621436,67.0,56.39504639532685,103.0,104.17076709907087,36.0,16.083256369932734,39.0,47.48716145424365,89.0,82.16635039949396
668,26.0,22.20314429841811,81.0,75.65221313775508,96.0,92.25257520266945,23.0,15.129255139276907,61.0,54.59014236750242,70.0,83.18626493661392
669,35.0,32.495720646129726,46.0,46.473847110693185,53.0,52.94644279195309,34.0,17.74327026107562,32.0,35.119084219770684,41.0,45.017446208856384
670,15.0,22.80914368205815,74.0,76.91198214151433,81.0,89.19969969987808,22.0,8.126085828399416,61.0,50.60817753947816,70.0,71.83217625156149
671,7.0,19.43557255657822,62.0,72.99302347510388,95.0,97.77110123231157,12.0,4.648814926096424,52.0,45.968558967354895,79.0,81.22000777404412
672,54.0,42.86181876894621,40.0,53.786573813739736,79.0,72.26322283566047,38.0,31.068340030888884,14.0,22.971162644790986,31.0,53.951262970270676
673,64.0,68.71491973664345,143.0,91.93934982601853,126.0,106.22931410301672,60.0,38.21226072722247,53.0,92.38910553909007,67.0,94.34988048701555
674,30.0,44.884711085334644,130.0,106.21826411824588,223.0,161.8554540917133,35.0,16.974142575071888,64.0,83.03079152101203,116.0,167.5556052870305
675,41.0,44.70515648713417,113.0,94.06602309868799,195.0,208.92376784182167,38.0,28.242446559183747,55.0,82.10290432083875,165.0,150.134561690714
676,40.0,38.394584687860245,101.0,104.41032954154038,152.0,153.34148772670977,37.0,26.58610055515366,66.0,71.67649084389066,104.0,127.84655283112234
677,44.0,42.2511210057212,289.0,278.3210681666543,249.0,263.32916150995266,41.0,29.763234557431655,238.0,214.47153643836262,225.0,212.29462216583283
678,43.0,49.29657240857172,92.0,104.38609743976222,87.0,110.35084998028346,43.0,29.506183601009006,69.0,71.2459409107596,75.0,75.11013848198169
679,27.0,26.348609147948288,67.0,65.73242162881617,68.0,80.30256215986161,16.0,12.732509985809136,33.0,43.723597391005114,34.0,43.611183567939406
680,71.0,46.74241322979462,121.0,93.60069828610418,98.0,103.445955913457,35.0,34.313683263561614,61.0,86.41137355161672,53.0,73.88318374609139
